"TimeCreated","Id","LevelDisplayName","Message"
"24-08-2025 20:40:12","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:10.590
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 62856
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:12","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:09.970
ProcessGuid: {99ef7bdc-532d-6887-4e00-000000001f00}
ProcessId: 4112
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 49671
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 142.250.77.99
DestinationHostname: -
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:11","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:08.876
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 51081
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:08.665
ProcessGuid: {99ef7bdc-532d-6887-4e00-000000001f00}
ProcessId: 4112
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: true
SourceIsIpv6: true
SourceIp: 2402:8100:25da:ae5a:7953:108e:dfca:e64c
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 49667
SourcePortName: -
DestinationIsIpv6: true
DestinationIp: 2600:140f:3:0:0:0:17df:2f39
DestinationHostname: -
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:08.484
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: tcp
Initiated: true
SourceIsIpv6: true
SourceIp: 2402:8100:25da:ae5a:7953:108e:dfca:e64c
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 64562
SourcePortName: -
DestinationIsIpv6: true
DestinationIp: 2600:1f18:24e6:b901:72e3:1bfe:b271:96b2
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:08.276
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: tcp
Initiated: true
SourceIsIpv6: true
SourceIp: 2402:8100:25da:ae5a:7953:108e:dfca:e64c
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 53377
SourcePortName: -
DestinationIsIpv6: true
DestinationIp: 2600:1f18:24e6:b901:72e3:1bfe:b271:96b2
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:08.226
ProcessGuid: {99ef7bdc-532d-6887-4e00-000000001f00}
ProcessId: 4112
Image: C:\Windows\system32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 64563
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 23.205.101.178
DestinationHostname: -
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:07.163
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 60262
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:07.162
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 54624
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:07.121
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 51124
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
